"","Acer_negundo","Acer_rubrum","Acer_saccharum","Aesculus_flava","Ailanthus_altissima","Amelanchier_arborea","Asimina_triloba","Carpinus_caroliniana","Carya_spp","Castanea_dentata","Celtis_occidentalis","Cercis_canadensis","Cornus_alternifolia","Cornus_amomum","Cornus_florida","Corylus_americana","Crataegus_spp","Elaeagnus_umbellata","Fagus_grandifolia","Fraxinus_americana","Fraxinus_pennsylvanica","Hamamelis_virginiana","Hypericum_spathulatum","Juglans_nigra","Lindera_benzoin","Liriodendron_tulipifera","Lonicera_japonica","Lonicera_maackii","Nyssa_sylvatica","Ostrya_virginiana","Oxydendrum_arboreum","Parthenocissus_quinquefolia","Pinus_strobus","Platanus_occidentalis","Populus_grandidentata","Prunus_serotina","Quercus_alba","Quercus_coccinea","Quercus_montana","Quercus_rubra","Quercus_velutina","Rhus_copallinum","Rhus_glabra","Rhus_typhina","Rosa_multiflora","Rubus_allegheniensis","Rubus_occidentalis","Sambucus_canadensis","Sassafras_albidum","Smilax_spp","Spiraea_tomentosa","Tilia_americana","Toxicodendron_radicans","Ulmus_americana","Ulmus_rubra","Vaccinium_spp","Viburnum_acerifolium","Viburnum_dentatum","Viburnum_prunifolium","Vitis_spp"
"138",0,933.708999472453,0,0,0,0,0,0,42.4413181578388,0,0,0,0,0,169.765272631355,0,0,84.8826363156775,0,0,0,0,0,0,0,42.4413181578388,0,0,0,84.8826363156775,2631.361725786,84.8826363156775,84.8826363156775,0,0,381.971863420549,42.4413181578388,0,0,84.8826363156775,169.765272631355,0,0,84.8826363156775,0,8827.79417683046,1145.91559026165,0,42.4413181578388,1740.09404447139,0,0,42.4413181578388,0,0,84.8826363156775,84.8826363156775,0,0,424.413181578388
"139",0,1230.79822657732,1655.21140815571,84.8826363156775,0,127.323954473516,0,0,679.06109052542,0,0,42.4413181578388,0,0,339.53054526271,0,0,0,0,0,0,1740.09404447139,0,0,0,1358.12218105084,0,0,0,297.089227104871,636.619772367581,42.4413181578388,0,1570.32877184003,0,339.53054526271,169.765272631355,0,721.502408683259,127.323954473516,466.854499736226,0,1655.21140815571,0,42.4413181578388,23936.9034410211,2037.18327157626,0,0,169.765272631355,0,0,84.8826363156775,0,0,0,0,0,42.4413181578388,721.502408683259
"140",0,381.971863420549,169.765272631355,0,0,594.178454209743,0,466.854499736226,1400.56349920868,0,0,0,0,0,169.765272631355,933.708999472453,0,0,424.413181578388,212.206590789194,0,0,0,0,2801.12699841736,0,0,0,297.089227104871,0,848.826363156775,84.8826363156775,0,0,0,0,84.8826363156775,0,42.4413181578388,254.647908947033,127.323954473516,0,0,0,339.53054526271,0,169.765272631355,0,0,1443.00481736652,0,0,0,0,0,84.8826363156775,679.06109052542,84.8826363156775,0,0
"141",0,0,0,127.323954473516,0,0,0,0,42.4413181578388,0,0,0,0,0,0,466.854499736226,0,0,0,42.4413181578388,0,0,0,84.8826363156775,551.737136051904,0,0,0,0,0,0,169.765272631355,0,0,0,42.4413181578388,0,0,0,0,0,0,0,0,4583.66236104659,933.708999472453,636.619772367581,0,0,2291.83118052329,466.854499736226,0,169.765272631355,169.765272631355,0,0,0,0,0,339.53054526271
"142",0,509.295817894065,42.4413181578388,0,0,84.8826363156775,0,0,297.089227104871,0,0,0,0,0,0,0,0,0,1909.85931710274,0,0,212.206590789194,0,0,0,0,0,0,127.323954473516,0,42.4413181578388,0,0,0,0,0,0,0,0,42.4413181578388,0,0,0,0,0,0,0,0,0,339.53054526271,0,0,0,0,0,0,466.854499736226,0,0,0
"143",0,636.619772367581,0,0,0,84.8826363156775,0,0,169.765272631355,0,0,0,0,0,84.8826363156775,0,0,0,297.089227104871,42.4413181578388,0,0,0,0,0,0,0,0,42.4413181578388,0,1188.35690841949,0,0,0,0,0,127.323954473516,84.8826363156775,0,0,0,0,0,0,0,0,0,0,0,763.943726841098,0,0,0,0,0,0,0,0,0,42.4413181578388
"144",0,1485.44613552436,42.4413181578388,127.323954473516,0,212.206590789194,0,1697.65272631355,551.737136051904,0,0,806.385044998936,0,0,763.943726841098,424.413181578388,1273.23954473516,84.8826363156775,84.8826363156775,42.4413181578388,0,0,212.206590789194,0,0,127.323954473516,2970.89227104871,0,466.854499736226,0,0,84.8826363156775,84.8826363156775,0,42.4413181578388,297.089227104871,1612.77008999787,0,0,297.089227104871,127.323954473516,1018.59163578813,0,0,127.323954473516,297.089227104871,127.323954473516,0,0,721.502408683259,0,0,84.8826363156775,0,509.295817894065,0,42.4413181578388,42.4413181578388,3734.83599788981,127.323954473516
"145",0,424.413181578388,0,84.8826363156775,0,0,0,0,381.971863420549,0,0,0,0,0,297.089227104871,0,0,0,42.4413181578388,0,0,0,0,0,3819.71863420549,339.53054526271,0,0,891.267681314614,0,1612.77008999787,0,0,0,0,0,42.4413181578388,0,0,42.4413181578388,721.502408683259,9337.08999472453,424.413181578388,0,0,339.53054526271,0,0,0,2716.24436210168,0,0,0,0,0,0,0,0,0,127.323954473516
"146",0,212.206590789194,1018.59163578813,339.53054526271,0,254.647908947033,0,1188.35690841949,339.53054526271,0,0,0,0,0,0,1358.12218105084,0,0,84.8826363156775,1485.44613552436,0,636.619772367581,0,0,1655.21140815571,42.4413181578388,0,0,84.8826363156775,84.8826363156775,0,0,0,0,0,0,0,0,0,254.647908947033,42.4413181578388,0,0,0,636.619772367581,0,0,0,0,297.089227104871,0,0,0,212.206590789194,212.206590789194,0,127.323954473516,1697.65272631355,1612.77008999787,0
"147",0,679.06109052542,0,42.4413181578388,0,84.8826363156775,0,763.943726841098,169.765272631355,0,0,0,0,0,254.647908947033,3395.3054526271,0,0,381.971863420549,381.971863420549,0,509.295817894065,0,0,848.826363156775,0,0,0,42.4413181578388,0,0,212.206590789194,0,0,0,0,169.765272631355,0,0,424.413181578388,0,0,0,0,84.8826363156775,169.765272631355,84.8826363156775,0,0,2291.83118052329,0,42.4413181578388,0,0,254.647908947033,0,5135.39949709849,0,0,42.4413181578388
"148",0,127.323954473516,0,0,0,0,0,0,339.53054526271,0,0,0,0,0,84.8826363156775,0,0,0,0,0,0,0,0,0,0,0,0,0,763.943726841098,0,84.8826363156775,0,0,0,84.8826363156775,0,42.4413181578388,0,0,42.4413181578388,339.53054526271,0,0,0,0,0,0,0,806.385044998936,3819.71863420549,0,0,0,0,0,0,0,0,0,84.8826363156775
