"","Acer_rubrum","Acer_saccharinum","Acer_saccharum","Aesculus_flava","Ailanthus_altissima","Amelanchier_arborea","Betula_nigra","Carpinus_caroliniana","Carya_spp","Cercis_canadensis","Cornus_florida","Fagus_grandifolia","Fraxinus_americana","Fraxinus_pennsylvanica","Juglans_nigra","Liriodendron_tulipifera","Nyssa_sylvatica","Ostrya_virginiana","Oxydendrum_arboreum","Pinus_rigida","Pinus_strobus","Platanus_occidentalis","Populus_grandidentata","Prunus_serotina","Quercus_alba","Quercus_coccinea","Quercus_imbricaria","Quercus_montana","Quercus_rubra","Quercus_velutina","Robinia_pseudoacacia","Sassafras_albidum","Tilia_americana","Ulmus_americana","Ulmus_rubra"
"46",49.8566663299852,0,12.4641665824963,0,0,0,0,0,24.9283331649926,0,0,87.2491660774741,12.4641665824963,0,0,0,87.2491660774741,0,0,0,0,0,0,0,12.4641665824963,12.4641665824963,0,112.177499242467,37.3924997474889,37.3924997474889,0,0,0,0,0
"47",124.641665824963,0,12.4641665824963,12.4641665824963,0,0,0,12.4641665824963,12.4641665824963,0,0,99.7133326599704,0,0,0,24.9283331649926,37.3924997474889,0,0,0,0,0,0,0,37.3924997474889,0,0,0,49.8566663299852,0,0,0,0,0,0
"48",74.7849994949778,0,12.4641665824963,0,0,0,0,0,12.4641665824963,0,0,37.3924997474889,0,0,0,162.034165572452,12.4641665824963,0,0,635.672495707312,0,0,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,12.4641665824963
"49",16.6188887766617,0,83.0944438833087,0,0,0,0,0,16.6188887766617,0,16.6188887766617,149.569998989956,0,0,0,58.1661107183161,0,0,16.6188887766617,0,0,0,0,0,8.30944438833087,0,0,0,8.30944438833087,24.9283331649926,0,0,0,0,0
"50",99.7133326599704,0,0,0,0,0,0,0,87.2491660774741,0,0,37.3924997474889,0,0,0,74.7849994949778,24.9283331649926,0,0,0,0,0,0,0,62.3208329124815,0,0,0,0,0,0,0,0,0,0
"51",137.105832407459,0,49.8566663299852,0,0,0,0,0,12.4641665824963,0,0,62.3208329124815,0,0,0,74.7849994949778,12.4641665824963,0,24.9283331649926,0,0,0,0,0,99.7133326599704,0,0,24.9283331649926,0,24.9283331649926,0,0,0,0,0
"52",0,12.4641665824963,12.4641665824963,49.8566663299852,0,0,0,0,12.4641665824963,0,0,0,0,0,0,211.890831902437,0,0,0,0,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,24.9283331649926,0
"53",174.498332154948,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,0,0,12.4641665824963,37.3924997474889,0,0,0,0,0,0,0,12.4641665824963,12.4641665824963,0,149.569998989956,0,12.4641665824963,0,12.4641665824963,0,0,0
"54",0,0,0,0,0,0,149.569998989956,24.9283331649926,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,0,149.569998989956,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,12.4641665824963,0,0,0,0,0,12.4641665824963,0,0,24.9283331649926,0,0,0,0,12.4641665824963,0,0,0,0,49.8566663299852,0,0,87.2491660774741,0,0,0,49.8566663299852,0,0,0,0,0,0
