"","Acer_negundo","Acer_rubrum","Acer_saccharinum","Acer_saccharum","Aesculus_flava","Ailanthus_altissima","Amelanchier_arborea","Asimina_triloba","Betula_nigra","Carpinus_caroliniana","Carya_spp","Castanea_dentata","Celtis_occidentalis","Cercis_canadensis","Cornus_alternifolia","Cornus_amomum","Cornus_florida","Corylus_americana","Crataegus_spp","Elaeagnus_umbellata","Fagus_grandifolia","Fraxinus_americana","Fraxinus_pennsylvanica","Hamamelis_virginiana","Hypericum_spathulatum","Juglans_nigra","Lindera_benzoin","Liriodendron_tulipifera","Lonicera_japonica","Lonicera_maackii","Nyssa_sylvatica","Ostrya_virginiana","Oxydendrum_arboreum","Parthenocissus_quinquefolia","Pinus_rigida","Pinus_strobus","Platanus_occidentalis","Populus_grandidentata","Prunus_serotina","Quercus_alba","Quercus_coccinea","Quercus_imbricaria","Quercus_montana","Quercus_rubra","Quercus_velutina","Rhus_copallinum","Rhus_glabra","Rhus_typhina","Robinia_pseudoacacia","Rosa_multiflora","Rubus_allegheniensis","Rubus_occidentalis","Sambucus_canadensis","Sassafras_albidum","Smilax_spp","Spiraea_tomentosa","Tilia_americana","Toxicodendron_radicans","Ulmus_americana","Ulmus_rubra","Vaccinium_spp","Viburnum_acerifolium","Viburnum_dentatum","Viburnum_prunifolium","Vitis_spp"
"11",0,74.7849994949778,0,456.756862915527,636.619772367581,0,63.6619772367581,0,0,572.957795130823,49.8566663299852,0,0,0,0,0,190.985931710274,0,127.323954473516,0,660.206961208297,572.957795130823,0,0,0,0,63.6619772367581,24.9283331649926,0,0,24.9283331649926,0,0,0,0,0,0,0,0,49.8566663299852,0,0,0,139.788121056013,0,0,0,0,0,0,0,0,0,0,827.605704077856,0,0,0,0,330.774052766287,0,63.6619772367581,0,1018.59163578813,0
"12",0,101.054476984247,0,0,0,0,254.647908947033,0,0,4023.16873249826,163.375309896729,0,0,1464.22547644544,0,0,521.759984476561,0,127.323954473516,63.6619772367581,891.267681314614,1399.2223548844,0,0,0,0,4583.66236104659,24.9283331649926,0,0,152.252287638509,203.450098292771,0,63.6619772367581,0,0,0,0,12.4641665824963,343.238219348783,0,0,0,278.235097787749,127.323954473516,0,0,0,0,3246.76083907466,0,318.309886183791,0,0,1018.59163578813,0,0,0,0,394.436030003045,0,381.971863420549,0,0,0
"13",0,276.893953463472,0,0,0,0,0,0,0,0,63.6619772367581,0,0,12.4641665824963,0,0,0,0,0,0,267.112075529529,0,0,0,0,0,0,228.378431457763,0,0,954.929658551372,0,544.006028993001,0,12.4641665824963,0,0,37.3924997474889,0,12.4641665824963,236.81916506743,0,2960.47887534126,12.4641665824963,127.323954473516,0,0,0,0,0,0,0,0,700.281749604339,6302.53574643906,0,0,0,0,0,63.6619772367581,0,0,0,0
"14",0,532.883006734781,0,24.9283331649926,0,0,63.6619772367581,0,0,127.323954473516,63.6619772367581,0,0,0,0,0,12.4641665824963,0,0,0,772.384460450764,127.323954473516,0,0,0,0,0,12.4641665824963,0,0,394.436030003045,190.985931710274,0,0,0,0,0,0,0,0,0,0,175.839476479225,76.1261438192544,127.323954473516,0,0,0,0,254.647908947033,0,0,0,0,2801.12699841736,0,0,0,0,0,0,3119.43688460115,0,0,0
"15",0,635.278628043305,0,506.613529245512,0,0,190.985931710274,0,0,763.943726841098,279.576242112025,0,0,0,0,0,127.323954473516,0,0,0,1170.84392342664,1285.70371131766,0,0,0,0,63.6619772367581,534.224151059058,0,0,12.4641665824963,254.647908947033,163.375309896729,0,0,0,0,0,0,37.3924997474889,0,0,101.054476984247,127.323954473516,0,0,0,0,0,0,0,0,0,0,445.633840657307,0,0,0,0,0,0,1400.56349920868,0,0,0
"16",0,534.224151059058,0,289.358120045968,509.295817894065,0,0,63.6619772367581,0,0,164.716454221005,0,0,190.985931710274,0,0,0,0,0,0,76.1261438192544,254.647908947033,0,0,0,0,700.281749604339,445.633840657307,0,0,76.1261438192544,0,0,0,0,0,0,0,63.6619772367581,63.6619772367581,0,0,254.647908947033,190.985931710274,394.436030003045,0,0,0,0,0,3565.07072525846,891.267681314614,0,63.6619772367581,4329.01445209955,0,0,0,0,127.323954473516,0,0,0,0,127.323954473516
"17",0,12.4641665824963,0,364.143119540946,381.971863420549,0,0,0,0,63.6619772367581,406.900196585541,0,0,63.6619772367581,0,0,254.647908947033,0,0,0,495.490506987292,127.323954473516,0,0,0,0,1018.59163578813,24.9283331649926,0,0,0,63.6619772367581,0,0,0,0,0,0,0,190.985931710274,0,0,0,445.633840657307,254.647908947033,0,0,0,0,190.985931710274,0,0,0,0,1973.5212943395,0,0,0,827.605704077856,0,0,0,0,0,0
"18",0,426.463952453428,0,0,76.1261438192544,0,0,7409.71769262894,0,0,0,0,0,12.4641665824963,0,0,0,0,0,0,0,636.619772367581,0,0,0,0,7512.11331393746,12.4641665824963,5347.60608788768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,24.9283331649926,636.619772367581,0,0,0,0,4965.63422446713,0,0,0,0,24.9283331649926,0,0,0,0,0
"19",0,364.143119540946,0,0,0,0,63.6619772367581,0,0,63.6619772367581,292.040408694521,0,0,63.6619772367581,0,0,394.436030003045,0,0,381.971863420549,2037.18327157626,190.985931710274,0,0,0,0,0,0,0,0,330.774052766287,0,292.040408694521,0,0,0,0,37.3924997474889,318.309886183791,63.6619772367581,0,0,63.6619772367581,483.026340404796,215.914264875267,0,0,0,0,1082.25361302489,0,0,0,318.309886183791,3374.08479354818,0,0,0,0,0,318.309886183791,0,0,0,0
"20",0,1651.18797518288,0,63.6619772367581,0,0,0,0,0,0,649.083938950078,0,0,0,0,0,127.323954473516,190.985931710274,0,0,0,0,0,0,0,0,0,521.759984476561,0,0,2304.29534710579,0,76.1261438192544,0,0,0,0,0,445.633840657307,635.278628043305,0,0,1871.12567303098,152.252287638509,737.674249351828,0,0,0,0,0,3628.73270249521,0,0,0,4201.69049762604,0,0,0,0,0,0,1846.19733986599,0,0,0
